type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Utirik Airport,11.22200012,169.852005,OC,MH,MH-UTI,UTK
small_airport,Buckhorn Ranch Airport,38.85189819,-106.93282,,US,US-CO,CSE
small_airport,LBJ Ranch Airport,30.25180054,-98.62249756,,US,US-TX,JCY
small_airport,Metropolitan Airport,42.22330093,-72.31140137,,US,US-MA,PMX
seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,,US,US-AK,WLR
small_airport,Nunapitchuk Airport,60.90579987,-162.4389954,,US,US-AK,NUP
small_airport,Icy Bay Airport,59.96900177,-141.6620026,,US,US-AK,ICY
small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,,US,US-AK,KKK
small_airport,Dunsmuir Muni-Mott Airport,41.26319885,-122.2720032,,US,US-CA,MHS
small_airport,Lime Village Airport,61.35910034,-155.4400024,,US,US-AK,LVD
heliport,Five Finger CG Heliport,57.26990128,-133.6309967,,US,US-AK,FIV
small_airport,Hog River Airport,66.2161026,-155.6690063,,US,US-AK,HGZ
small_airport,Ed-Air Airport,38.85139847,-87.49970245,,US,US-IN,OTN
seaplane_base,False Island Seaplane Base,57.53219986,-135.2129974,,US,US-AK,FAK
small_airport,Blakely Island Airport,48.57899857,-122.8259964,,US,US-WA,BYW
small_airport,Drift River Airport,60.58890152,-152.1620026,,US,US-AK,DRF
small_airport,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,,US,US-IL,BDF
small_airport,Roy Otten Memorial Airfield,38.42779922,-92.87519836,,US,US-MO,VRS
seaplane_base,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,,US,US-AK,GDH
small_airport,Atmautluak Airport,60.86669922,-162.272995,,US,US-AK,ATT
small_airport,Livengood Camp Airport,65.467,-148.6534,,US,US-AK,LIV
small_airport,Pedro Bay Airport,59.78960037,-154.1239929,,US,US-AK,PDB
small_airport,Ouzinkie Airport,57.92290115,-152.5010071,,US,US-AK,KOZ
seaplane_base,Hyder Seaplane Base,55.9033244,-130.0099754,,US,US-AK,WHD
seaplane_base,Tokeen Seaplane Base,55.93709946,-133.3269959,,US,US-AK,TKI
medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,,US,US-AK,WKK
seaplane_base,Ketchikan Harbor Seaplane Base,55.34989929,-131.677002,,US,US-AK,WFB
small_airport,Southern Seaplane Airport,29.86610031,-90.02220154,,US,US-LA,BCS
heliport,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,,US,US-CA,SPQ
heliport,East 34th Street Heliport,40.74259949,-73.9720993,,US,US-NY,TSS
seaplane_base,New York Skyports Inc Seaplane Base,40.73400116,-73.97290039,,US,US-NY,QNY
small_airport,Earl Henry Airport,36.79589844,-97.31700134,,US,US-OK,BWL
seaplane_base,Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,,US,US-AK,WYB
small_airport,Center Island Airport,48.49010086,-122.8320007,,US,US-WA,CWS
small_airport,Tatitlek Airport,60.8689003,-146.6860046,,US,US-AK,TEK
small_airport,Pine Island Airport,36.25350189,-75.78849792,,US,US-NC,DUF
small_airport,Stuart Island Airpark,48.67290115,-123.1760025,,US,US-WA,SSW
small_airport,Fort Bragg Airport,39.47430038,-123.7959976,,US,US-CA,FOB
heliport,Century City Heliport,34.06079865,-118.4179993,,US,US-CA,CCD
seaplane_base,Meyers Chuck Seaplane Base,55.73960114,-132.2550049,,US,US-AK,WMK
small_airport,Waldronaire Airport,48.71179962,-123.0179977,,US,US-WA,WDN
seaplane_base,North Whale Seaplane Base,56.11629868,-133.121994,,US,US-AK,WWP
small_airport,Chuathbaluk Airport,61.57910156,-159.2160034,,US,US-AK,CHU
small_airport,Levelock Airport,59.12810135,-156.8589935,,US,US-AK,KLL
seaplane_base,Saginaw Seaplane Base,56.88629913,-134.1580048,,US,US-AK,SGW
small_airport,Tuntutuliak Airport,60.33530045,-162.6670074,,US,US-AK,WTL
small_airport,Chignik Lake Airport,56.25500107,-158.7749939,,US,US-AK,KCQ
small_airport,Atkamba Airport,-6.065555556,141.0952778,OC,PG,PG-WPD,ABP
heliport,Andorra la Vella Heliport,42.50049973,1.517120004,EU,AD,AD-07,ALV
small_airport,Andakombe Airport,-7.137222222,145.7447222,OC,PG,PG-EHG,ADC
small_airport,El Daein Airport,11.4023,26.1186,AF,SD,SD-DE,ADV
small_airport,Adareil Airport,10.05361111,32.95944444,AF,SS,SS-23,AEE
heliport,Algeciras Heliport,36.12888034,-5.441118479,EU,ES,ES-CA,AEI
small_airport,Aseki Airport,-7.350804856,146.1938667,OC,PG,PG-MPL,AEK
small_airport,Orūzgān Airport,32.90299988,66.63089752,AS,AF,AF-ORU,URZ
small_airport,Salerno Landing Zone Airport,33.36380005,69.95610046,AS,AF,AF-PIA,OLR
seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.644,AS,LK,LK-5,AFK
small_airport,Afore Airstrip,-9.142222222,148.3908333,OC,PG,PG-NPP,AFR
small_airport,Afutara Aerodrome,-9.191388889,160.9486111,OC,SB,SB-ML,AFT
small_airport,Ulawa Airport,-9.860543583,161.9795465,OC,SB,SB-MK,RNA
small_airport,Uru Harbour Airport,-8.873330116,161.0110016,OC,SB,SB-ML,ATD
small_airport,Barakoma Airport,-7.912779808,156.7059937,OC,SB,SB-WE,VEV
small_airport,Geva Airport,-7.575829983,156.5970001,OC,SB,SB-WE,GEF
small_airport,Angoram Airport,-4.055833333,144.0738889,OC,PG,PG-ESW,AGG
small_airport,Auki Airport,-8.702569962,160.6820068,OC,SB,SB-ML,AKS
small_airport,Bellona/Anua Airport,-11.30222222,159.7983333,OC,SB,SB-RB,BNY
small_airport,Choiseul Bay Airport,-6.711944,156.396111,OC,SB,SB-CH,CHY
small_airport,Ballalae Airport,-6.990745,155.886656,OC,SB,SB-WE,BAS
small_airport,Fera/Maringe Airport,-8.107500076,159.5769958,OC,SB,SB-IS,FRE
medium_airport,Honiara International Airport,-9.42800045,160.0549927,OC,SB,SB-CT,HIR
small_airport,Babanakira Airport,-9.74750042,159.8390045,OC,SB,SB-GU,MBU
small_airport,Avu Avu Airport,-9.868333333,160.4105556,OC,SB,SB-GU,AVU
small_airport,Ngorangora Airport,-10.44970036,161.897995,OC,SB,SB-MK,IRA
small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,OC,SB,SB-TE,SCZ
medium_airport,Munda Airport,-8.327969551,157.2630005,OC,SB,SB-WE,MUA
small_airport,Nusatupe Airport,-8.097780228,156.8639984,OC,SB,SB-WE,GZO
small_airport,Mono Airport,-7.416940212,155.5650024,OC,SB,SB-WE,MNY
small_airport,Parasi Airport,-9.641670227,161.4250031,OC,SB,SB-ML,PRS
small_airport,Rennell/Tingoa Airport,-11.53390026,160.0630035,OC,SB,SB-RB,RNL
small_airport,Sege Airport,-8.578889847,157.8760071,OC,SB,SB-WE,EGM
small_airport,Santa Ana Airport,-10.847994,162.454108,OC,SB,SB-MK,NNB
small_airport,Marau Airport,-9.86166954,160.8249969,OC,SB,SB-GU,RUS
small_airport,Suavanao Airport,-7.585559845,158.7310028,OC,SB,SB-IS,VAO
small_airport,Yandina Airport,-9.092816,159.21841,OC,SB,SB-CE,XYA
small_airport,Kagua Airport,-6.396388889,143.8536111,OC,PG,PG-SHM,AGK
small_airport,Kaghau Airport,-7.3305,157.585,OC,SB,SB-CH,KGE
small_airport,Kukudu Airport,-8.0262,156.94783,OC,SB,SB-WE,KUE
small_airport,Kwailabesi Airport,-8.360508,160.775127,OC,SB,SB-ML,KWS
small_airport,Wanigela Airport,-9.3375,149.1555556,OC,PG,PG-NPP,AGL
small_airport,Nana Airport,-10.6758,162.2049,OC,SB,SB-MK,NAZ
small_airport,Ringi Cove Airport,-8.126390457,157.1430054,OC,SB,SB-WE,RIN
small_airport,Ramata Airport,-8.168060303,157.6430054,OC,SB,SB-WE,RBV
heliport,Tulaghi Heliport,-9.108,160.1491667,OC,SB,SB-CE,TLG
small_airport,Argyle Downs Airport,-16.514,128.9245,OC,AU,AU-WA,AGY
medium_airport,Hongyuan Airport,32.53154,102.35224,AS,CN,CN-51,AHJ
small_airport,Ambatolhy Airport,-20.01583333,45.535,AF,MG,MG-U,AHY
small_airport,Aiome Airport,-5.145699978,144.7307003,OC,PG,PG-MPM,AIE
small_airport,Aiambak Airport,-7.342777778,141.2675,OC,PG,PG-WPD,AIH
small_airport,Ailinglaplap Airport,7.279421592,168.8257,OC,MH,MH-ALL,AIP
small_airport,Chena Hot Springs Airport,65.05180359,-146.0469971,,US,US-AK,CEX
small_airport,Solomon State Field,64.5605,-164.4457,,US,US-AK,SOL
small_airport,Herendeen Bay Airport,55.80139923,-160.8990021,,US,US-AK,HED
small_airport,Taylor Airport,65.6792984,-164.798996,,US,US-AK,TWE
seaplane_base,Tikchik Lodge Seaplane Base,59.96319962,-158.477005,,US,US-AK,KTH
seaplane_base,Naukati Bay Seaplane Base,55.84960175,-133.2279968,,US,US-AK,WNC
small_airport,Lonely Air Station,70.91069794,-153.2420044,,US,US-AK,LNI
small_airport,Candle 2 Airport,65.90769959,-161.9259949,,US,US-AK,CDL
seaplane_base,Amook Bay Seaplane Base,57.4715004,-153.8150024,,US,US-AK,AOS
small_airport,Bartletts Airport,58.21620178,-157.352005,,US,US-AK,BSZ
small_airport,Boswell Bay Airport,60.42309952,-146.1459961,,US,US-AK,BSW
small_airport,Zakuoma Airport,10.89027778,19.81722222,AF,TD,TD-SA,AKM
small_airport,Sharpe Field,32.4919014,-85.77559662,,US,US-AL,TGE
seaplane_base,Alitak Seaplane Base,56.8995018,-154.2480011,,US,US-AK,ALZ
small_airport,Alto Molocue Airport,-15.61027778,37.68138889,AF,MZ,MZ-Q,AME
small_airport,Ama Airport,-4.101111111,141.67,OC,PG,PG-ESW,AMF
small_airport,Amanab Airport,-3.586,141.2143333,OC,PG,PG-SAN,AMU
small_airport,Ambatomainty Airport,-17.68666667,45.62388889,AF,MG,MG-M,AMY
medium_airport,Nauru International Airport,-0.547458,166.919006,OC,NR,NR-14,INU
small_airport,Angus Downs Airport,-25.0325,132.2748,OC,AU,AU-NT,ANZ
small_airport,Andulo Airport,-11.47229958,16.71089935,AF,AO,AO-BIE,ANL
small_airport,Cangamba Airport,-13.7105999,19.86109924,AF,AO,AO-MOX,CNZ
