type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Utirik Airport,11.222000122070312,169.8520050048828,OC,MH,MH-UTI,UTK
small_airport,Buckhorn Ranch Airport,38.851898193400004,-106.93281999999999,,US,US-CO,CSE
small_airport,LBJ Ranch Airport,30.251800537100006,-98.6224975586,,US,US-TX,JCY
small_airport,Metropolitan Airport,42.223300933800004,-72.31140136719998,,US,US-MA,PMX
seaplane_base,Loring Seaplane Base,55.601299285900005,-131.636993408,,US,US-AK,WLR
small_airport,Nunapitchuk Airport,60.9057998657,-162.438995361,,US,US-AK,NUP
small_airport,Icy Bay Airport,59.96900177,-141.662002563,,US,US-AK,ICY
small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,,US,US-AK,KKK
small_airport,Dunsmuir Muni-Mott Airport,41.2631988525,-122.27200317399999,,US,US-CA,MHS
small_airport,Lime Village Airport,61.3591003418,-155.440002441,,US,US-AK,LVD
heliport,Five Finger CG Heliport,57.26990127559999,-133.63099670399998,,US,US-AK,FIV
small_airport,Hog River Airport,66.21610260000001,-155.6690063,,US,US-AK,HGZ
small_airport,Ed-Air Airport,38.851398468,-87.49970245360001,,US,US-IN,OTN
seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,US,US-AK,FAK
small_airport,Blakely Island Airport,48.578998565700005,-122.82599639899999,,US,US-WA,BYW
small_airport,Drift River Airport,60.5889015198,-152.162002563,,US,US-AK,DRF
small_airport,Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,,US,US-IL,BDF
small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,,US,US-MO,VRS
seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,,US,US-AK,GDH
small_airport,Atmautluak Airport,60.8666992188,-162.272994995,,US,US-AK,ATT
small_airport,Livengood Camp Airport,65.467,-148.6534,,US,US-AK,LIV
small_airport,Pedro Bay Airport,59.789600372299994,-154.12399292,,US,US-AK,PDB
small_airport,Ouzinkie Airport,57.922901153599994,-152.50100708,,US,US-AK,KOZ
seaplane_base,Hyder Seaplane Base,55.9033244038,-130.009975433,,US,US-AK,WHD
seaplane_base,Tokeen Seaplane Base,55.937099456800006,-133.32699585,,US,US-AK,TKI
medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,,US,US-AK,WKK
seaplane_base,Ketchikan Harbor Seaplane Base,55.349899291999996,-131.677001953,,US,US-AK,WFB
small_airport,Southern Seaplane Airport,29.866100311300002,-90.02220153809999,,US,US-LA,BCS
heliport,Catalina Air-Sea Terminal Heliport,33.749198913600004,-118.275001526,,US,US-CA,SPQ
heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,,US,US-NY,TSS
seaplane_base,New York Skyports Inc Seaplane Base,40.7340011597,-73.9729003906,,US,US-NY,QNY
small_airport,Earl Henry Airport,36.7958984375,-97.31700134280001,,US,US-OK,BWL
seaplane_base,Yes Bay Lodge Seaplane Base,55.916301727299995,-131.80099487299998,,US,US-AK,WYB
small_airport,Center Island Airport,48.4901008606,-122.83200073200001,,US,US-WA,CWS
small_airport,Tatitlek Airport,60.8689003,-146.6860046,,US,US-AK,TEK
small_airport,Pine Island Airport,36.2535018921,-75.7884979248,,US,US-NC,DUF
small_airport,Stuart Island Airpark,48.672901153564,-123.17600250244,,US,US-WA,SSW
small_airport,Fort Bragg Airport,39.4743003845,-123.79599762,,US,US-CA,FOB
heliport,Century City Heliport,34.060798645,-118.41799926799999,,US,US-CA,CCD
seaplane_base,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883,,US,US-AK,WMK
small_airport,Waldronaire Airport,48.7117996216,-123.017997742,,US,US-WA,WDN
seaplane_base,North Whale Seaplane Base,56.116298675500005,-133.121994019,,US,US-AK,WWP
small_airport,Chuathbaluk Airport,61.57910156,-159.2160034,,US,US-AK,CHU
small_airport,Levelock Airport,59.1281013489,-156.85899353,,US,US-AK,KLL
seaplane_base,Saginaw Seaplane Base,56.8862991333,-134.158004761,,US,US-AK,SGW
small_airport,Tuntutuliak Airport,60.335300445600005,-162.667007446,,US,US-AK,WTL
small_airport,Chignik Lake Airport,56.25500106810001,-158.774993896,,US,US-AK,KCQ
small_airport,Atkamba Airport,-6.0655555555600005,141.095277778,OC,PG,PG-WPD,ABP
heliport,Andorra la Vella Heliport,42.5004997253,1.5171200037,EU,AD,AD-07,ALV
small_airport,Andakombe Airport,-7.13722222222,145.744722222,OC,PG,PG-EHG,ADC
small_airport,El Daein Airport,11.4023,26.1186,AF,SD,SD-DE,ADV
small_airport,Adareil Airport,10.0536111111,32.9594444444,AF,SS,SS-23,AEE
heliport,Algeciras Heliport,36.128880337300004,-5.44111847878,EU,ES,ES-CA,AEI
